failure_category,short_reason,failures,affected_projects
ARTIFACT_NOT_FOUND,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] [ERROR] Some problems were encountered while processing the POMs: | [ERROR] The build could not read 1 project -> [Help 1],2277,43
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-framework-api: Could not resolve dependencies for project org.apache.nifi:nifi-framework-api:jar:1.4.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-api:jar:1.4.0-SNAPSHOT (compile),47,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project janusgraph-test: Could not resolve dependencies for project org.janusgraph:janusgraph-test:jar:0.2.0-SNAPSHOT | [ERROR] dependency: org.janusgraph:janusgraph-core:jar:0.2.0-SNAPSHOT (compile),47,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project titan-test: Could not resolve dependencies for project com.thinkaurelius.titan:titan-test:jar:0.5.0-SNAPSHOT | [ERROR] dependency: com.thinkaurelius.titan:titan-core:jar:0.5.0-SNAPSHOT (compile),47,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project activemq-openwire-legacy: Could not resolve dependencies for project org.apache.activemq:activemq-openwire-legacy:jar:5.15.0-SNAPSHOT | [ERROR] dependency: org.apache.activemq:activemq-client:jar:5.15.0-SNAPSHOT (compile),46,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project gt-opengis: Could not collect dependencies for project org.geotools:gt-opengis:jar:15-SNAPSHOT | [ERROR] Failed to read artifact descriptor for javax.media:jai_codec:jar:1.1.3,46,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-framework-api: Could not resolve dependencies for project org.apache.nifi:nifi-framework-api:jar:1.0.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-api:jar:1.0.0-SNAPSHOT (compile),46,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] 'dependencies.dependency.version' for jdk.tools:jdk.tools:jar is missing. @ | [ERROR] 'dependencies.dependency.systemPath' for jdk.tools:jdk.tools:jar is missing. @,45,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project insight-plugin-axon: Could not collect dependencies for project org.axonframework:insight-plugin-axon:jar:2.0-SNAPSHOT | [ERROR] Failed to read artifact descriptor for com.springsource.insight:insight-idk:jar:1.5.0.RELEASE,45,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project struts2-jasperreports-plugin: Could not collect dependencies for project org.apache.struts:struts2-jasperreports-plugin:jar:2.6-SNAPSHOT | [ERROR] Failed to read artifact descriptor for com.lowagie:itext:jar:2.1.7.js7,45,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal org.apache.maven.plugins:maven-dependency-plugin:3.1.1:tree (default-cli) on project iotdb-server: Cannot build project dependency graph: Could not resolve nor collect following dependencies: [io.moquette:moquette-broker:jar:0.13 (compile)]: Could not resolve dependencies for project org.apache.iotdb:iotdb-server:jar:0.12.0-SNAPSHOT | [ERROR] dependency: org.apache.iotdb:service-rpc:jar:0.12.0-SNAPSHOT (compile),45,1
