project_id,project,db,usage_segment_id,files,n_files,version,interval_start,interval_end,days,period,cves,stop_reason
19,AxonFramework,HyperSQL,4144,axon-configuration; axon-configuration-jakarta; axon-eventsourcing; axon-eventsourcing-jakarta; axon-integrationtests; axon-integrationtests-jakarta; axon-messaging; axon-messaging-jakarta; axon-modelling; axon-modelling-jakarta; axon-spring; axon-spring-boot-autoconfigure; axon-configuration; axon-eventsourcing; axon-hibernate-6-integrationtests; axon-integrationtests; axon-messaging; axon-modelling; axon-spring; axon-spring-boot-autoconfigure; axon-configuration; axon-eventsourcing; axon-integrationtests; axon-messaging; axon-modelling; axon-spring; axon-spring-boot-autoconfigure,12,2.5.2,2022-10-06 18:17:07.190000+00:00,2022-10-22 14:19:43+00:00,15.835136689814815,post_disclosure,CVE-2022-41853,version_changed
19,AxonFramework,HyperSQL,4144,axon-configuration; axon-configuration-jakarta; axon-eventsourcing; axon-eventsourcing-jakarta; axon-integrationtests; axon-integrationtests-jakarta; axon-messaging; axon-messaging-jakarta; axon-modelling; axon-modelling-jakarta; axon-spring; axon-spring-boot-autoconfigure; axon-configuration; axon-eventsourcing; axon-hibernate-6-integrationtests; axon-integrationtests; axon-messaging; axon-modelling; axon-spring; axon-spring-boot-autoconfigure; axon-configuration; axon-eventsourcing; axon-integrationtests; axon-messaging; axon-modelling; axon-spring; axon-spring-boot-autoconfigure,12,2.5.2,2022-10-22 14:19:43+00:00,2023-11-13 00:00:00+00:00,386.40297453703704,post_resolution,CVE-2022-41853,version_changed
19,AxonFramework,MySQL,4150,axon-core; axon-core; axon-integrationtests; axon-integrationtests; axon-jpa,2,5.1.10,2010-03-09 00:00:00+00:00,2012-11-20 00:00:00+00:00,987.0,pre_disclosure,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102,version_changed
19,AxonFramework,MySQL,4151,axon-core,1,5.1.13,2010-10-25 00:00:00+00:00,2012-11-20 00:00:00+00:00,757.0,pre_disclosure,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102,version_changed
19,AxonFramework,MySQL,4152,axon-core; axon-integrationtests; axon-integrationtests,2,5.1.21,2012-11-20 00:00:00+00:00,2015-04-16 17:00:07.253000+00:00,877.7084172800927,pre_disclosure,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102,version_changed
19,AxonFramework,MySQL,4152,axon-core; axon-integrationtests; axon-integrationtests,2,5.1.21,2015-04-16 17:00:07.253000+00:00,2015-05-08 10:55:46+00:00,21.746976238425926,post_disclosure,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102,version_changed
19,AxonFramework,MySQL,4152,axon-core; axon-integrationtests; axon-integrationtests,2,5.1.21,2015-05-08 10:55:46+00:00,2016-01-08 00:00:00+00:00,244.54460648148148,post_resolution,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102,version_changed
19,AxonFramework,MySQL,4153,axon-core,1,5.1.28,2014-01-17 00:00:00+00:00,2015-04-16 17:00:07.253000+00:00,454.7084172800926,pre_disclosure,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102,version_changed
19,AxonFramework,MySQL,4153,axon-core,1,5.1.28,2015-04-16 17:00:07.253000+00:00,2015-05-08 10:55:46+00:00,21.746976238425926,post_disclosure,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102,version_changed
19,AxonFramework,MySQL,4153,axon-core,1,5.1.28,2015-05-08 10:55:46+00:00,2016-01-08 00:00:00+00:00,244.54460648148148,post_resolution,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102,version_changed
