owner,name,repo_path,has_root_pom,root_pom_path,xml_decl_found,xml_has_bom,xml_has_bytes_before_decl,xml_preamble_preview,root_pom_has_file_tag,root_pom_file_tag_count,erro_no_caminho
GoogleContainerTools,jib,/home/camila/repos/GoogleContainerTools/jib,False,,False,False,False,,False,0,False
graphhopper,jsprit,/home/camila/repos/graphhopper/jsprit,True,/home/camila/repos/graphhopper/jsprit/pom.xml,False,False,False,b'\n<!--\n~ Licensed to GraphHopper GmbH und',False,0,False
graphhopper,graphhopper,/home/camila/repos/graphhopper/graphhopper,True,/home/camila/repos/graphhopper/graphhopper/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
graphql-java,graphql-java,/home/camila/repos/graphql-java/graphql-java,False,,False,False,False,,False,0,False
Graylog2,graylog2-server,/home/camila/repos/Graylog2/graylog2-server,True,/home/camila/repos/Graylog2/graylog2-server/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
grpc,grpc-java,/home/camila/repos/grpc/grpc-java,False,,False,False,False,,False,0,False
gsantner,markor,/home/camila/repos/gsantner/markor,False,,False,False,False,,False,0,False
haifengl,smile,/home/camila/repos/haifengl/smile,False,,False,False,False,,False,0,False
hapifhir,hapi-fhir,/home/camila/repos/hapifhir/hapi-fhir,True,/home/camila/repos/hapifhir/hapi-fhir/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
haraldk,TwelveMonkeys,/home/camila/repos/haraldk/TwelveMonkeys,True,/home/camila/repos/haraldk/TwelveMonkeys/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
hawtio,hawtio,/home/camila/repos/hawtio/hawtio,True,/home/camila/repos/hawtio/hawtio/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
hcoles,pitest,/home/camila/repos/hcoles/pitest,True,/home/camila/repos/hcoles/pitest/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
hneemann,Digital,/home/camila/repos/hneemann/Digital,True,/home/camila/repos/hneemann/Digital/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
i2p,i2p.i2p,/home/camila/repos/i2p/i2p.i2p,False,,False,False,False,,False,0,False
iBotPeaches,Apktool,/home/camila/repos/iBotPeaches/Apktool,False,,False,False,False,,False,0,False
igniterealtime,Smack,/home/camila/repos/igniterealtime/Smack,False,,False,False,False,,False,0,False
igniterealtime,Openfire,/home/camila/repos/igniterealtime/Openfire,True,/home/camila/repos/igniterealtime/Openfire/pom.xml,False,False,False,"b'<project xmlns=""http://maven.apache.org/'",False,0,False
iluwatar,java-design-patterns,/home/camila/repos/iluwatar/java-design-patterns,True,/home/camila/repos/iluwatar/java-design-patterns/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
immutables,immutables,/home/camila/repos/immutables/immutables,True,/home/camila/repos/immutables/immutables/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
INRIA,spoon,/home/camila/repos/INRIA/spoon,True,/home/camila/repos/INRIA/spoon/pom.xml,False,False,False,b'<!--\n\n    Copyright (C) 2006-2019 INRIA ',False,0,False
internetarchive,heritrix3,/home/camila/repos/internetarchive/heritrix3,True,/home/camila/repos/internetarchive/heritrix3/pom.xml,True,False,False,"b'<?xml version=""1.0""?>\n<!--\nPOM reference'",False,0,False
iterate-ch,cyberduck,/home/camila/repos/iterate-ch/cyberduck,True,/home/camila/repos/iterate-ch/cyberduck/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
