owner,name,repo_path,module,status,detail,rel_path,abs_path,depth,nearest_declared_ancestor
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api/activiti-api-task-model,undeclared-parent-mismatch(child=org.activiti:activiti-api-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-api/activiti-api-task-model/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/activiti-api-task-model/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-dependency-check,undeclared-with-parent,POM não listado em <modules>,activiti-dependency-check/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-dependency-check/pom.xml,0,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-dependencies,undeclared-with-parent,POM não listado em <modules>,activiti-dependencies/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-dependencies/pom.xml,0,
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-coverage,undeclared-with-parent,POM não listado em <modules>,spring-cloud-alibaba-coverage/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-coverage/pom.xml,0,
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-starters,undeclared-with-parent,POM não listado em <modules>,spring-cloud-alibaba-starters/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-starters/pom.xml,0,
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-sentinel,undeclared-parent-mismatch(child=com.alibaba.cloud:spring-cloud-alibaba-starters vs root=com.alibaba.cloud:spring-cloud-alibaba),POM não listado em <modules>,spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-sentinel/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-sentinel/pom.xml,1,
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-sidecar,undeclared-parent-mismatch(child=com.alibaba.cloud:spring-cloud-alibaba-starters vs root=com.alibaba.cloud:spring-cloud-alibaba),POM não listado em <modules>,spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-sidecar/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-sidecar/pom.xml,1,
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-nacos-config,undeclared-parent-mismatch(child=com.alibaba.cloud:spring-cloud-alibaba-starters vs root=com.alibaba.cloud:spring-cloud-alibaba),POM não listado em <modules>,spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-nacos-config/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-nacos-config/pom.xml,1,
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-starters/spring-cloud-circuitbreaker-sentinel,undeclared-parent-mismatch(child=com.alibaba.cloud:spring-cloud-alibaba-starters vs root=com.alibaba.cloud:spring-cloud-alibaba),POM não listado em <modules>,spring-cloud-alibaba-starters/spring-cloud-circuitbreaker-sentinel/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-circuitbreaker-sentinel/pom.xml,1,
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-starters/spring-cloud-starter-bus-rocketmq,undeclared-parent-mismatch(child=com.alibaba.cloud:spring-cloud-alibaba-starters vs root=com.alibaba.cloud:spring-cloud-alibaba),POM não listado em <modules>,spring-cloud-alibaba-starters/spring-cloud-starter-bus-rocketmq/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-starter-bus-rocketmq/pom.xml,1,
