owner,name,repo_path,has_root_pom,listed_modules,listed_modules_parent_ok,listed_modules_parent_bad,unlisted_children_parent_ok,coverage_listed_ok_over_listed
killbill,killbill,/home/camila/repos/killbill/killbill,True,16,16,0,0,1.000
knowm,XChart,/home/camila/repos/knowm/XChart,True,2,2,0,0,1.000
knowm,XChange,/home/camila/repos/knowm/XChange,True,119,119,0,0,1.000
Kong,unirest-java,/home/camila/repos/Kong/unirest-java,True,6,6,0,0,1.000
konsoletyper,teavm,/home/camila/repos/konsoletyper/teavm,False,0,0,0,0,0.000
kubernetes-client,java,/home/camila/repos/kubernetes-client/java,True,12,9,3,1,0.750
languagetool-org,languagetool,/home/camila/repos/languagetool-org/languagetool,True,45,9,36,0,0.200
LawnchairLauncher,Lawnchair,/home/camila/repos/LawnchairLauncher/Lawnchair,False,0,0,0,0,0.000
libgdx,libgdx,/home/camila/repos/libgdx/libgdx,False,0,0,0,0,0.000
LibrePDF,OpenPDF,/home/camila/repos/LibrePDF/OpenPDF,True,4,4,0,0,1.000
line,armeria,/home/camila/repos/line/armeria,False,0,0,0,0,0.000
linkedin,rest.li,/home/camila/repos/linkedin/rest.li,False,0,0,0,0,0.000
linkedin,ambry,/home/camila/repos/linkedin/ambry,False,0,0,0,0,0.000
liquibase,liquibase,/home/camila/repos/liquibase/liquibase,True,10,10,0,0,1.000
lukas-krecan,ShedLock,/home/camila/repos/lukas-krecan/ShedLock,True,47,3,44,0,0.064
LWJGL,lwjgl3,/home/camila/repos/LWJGL/lwjgl3,True,0,0,0,0,0.000
M66B,NetGuard,/home/camila/repos/M66B/NetGuard,False,0,0,0,0,0.000
mabe02,lanterna,/home/camila/repos/mabe02/lanterna,True,0,0,0,0,0.000
magefree,mage,/home/camila/repos/magefree/mage,True,11,11,0,0,1.000
manifold-systems,manifold,/home/camila/repos/manifold-systems/manifold,True,5,5,0,0,1.000
mapstruct,mapstruct,/home/camila/repos/mapstruct/mapstruct,True,5,0,5,0,0.000
material-components,material-components-android,/home/camila/repos/material-components/material-components-android,False,0,0,0,0,0.000
mendhak,gpslogger,/home/camila/repos/mendhak/gpslogger,False,0,0,0,0,0.000
micrometer-metrics,micrometer,/home/camila/repos/micrometer-metrics/micrometer,False,0,0,0,0,0.000
micronaut-projects,micronaut-core,/home/camila/repos/micronaut-projects/micronaut-core,False,0,0,0,0,0.000
MinecraftForge,MinecraftForge,/home/camila/repos/MinecraftForge/MinecraftForge,False,0,0,0,0,0.000
mitreid-connect,OpenID-Connect-Java-Spring-Server,/home/camila/repos/mitreid-connect/OpenID-Connect-Java-Spring-Server,True,6,6,0,0,1.000
mock-server,mockserver,/home/camila/repos/mock-server/mockserver,True,11,11,0,0,1.000
mockito,mockito,/home/camila/repos/mockito/mockito,False,0,0,0,0,0.000
mongodb,mongo-java-driver,/home/camila/repos/mongodb/mongo-java-driver,False,0,0,0,0,0.000
moquette-io,moquette,/home/camila/repos/moquette-io/moquette,True,3,3,0,0,1.000
MorphiaOrg,morphia,/home/camila/repos/MorphiaOrg/morphia,True,6,6,0,1,1.000
MovingBlocks,Terasology,/home/camila/repos/MovingBlocks/Terasology,False,0,0,0,0,0.000
mplushnikov,lombok-intellij-plugin,/home/camila/repos/mplushnikov/lombok-intellij-plugin,False,0,0,0,0,0.000
