owner,name,repo_path,classe,gradle_multi,node_workspaces,erro_no_caminho,total_poms,total_pom_commits
magefree,mage,/home/camila/repos/magefree/mage,MULTIPROJETOS,False,False,False,40,408
manifold-systems,manifold,/home/camila/repos/manifold-systems/manifold,MULTIPROJETOS,False,False,False,74,851
mapstruct,mapstruct,/home/camila/repos/mapstruct/mapstruct,MULTIPROJETOS,False,False,False,56,320
material-components,material-components-android,/home/camila/repos/material-components/material-components-android,MULTIPROJETOS,True,False,False,0,0
mendhak,gpslogger,/home/camila/repos/mendhak/gpslogger,MULTIPROJETOS,True,False,False,0,0
micrometer-metrics,micrometer,/home/camila/repos/micrometer-metrics/micrometer,MULTIPROJETOS,True,False,False,0,0
micronaut-projects,micronaut-core,/home/camila/repos/micronaut-projects/micronaut-core,MULTIPROJETOS,True,False,False,0,0
MinecraftForge,MinecraftForge,/home/camila/repos/MinecraftForge/MinecraftForge,MULTIPROJETOS,True,False,False,1,2
mitreid-connect,OpenID-Connect-Java-Spring-Server,/home/camila/repos/mitreid-connect/OpenID-Connect-Java-Spring-Server,MULTIPROJETOS,False,False,False,7,322
mock-server,mockserver,/home/camila/repos/mock-server/mockserver,MULTIPROJETOS,False,False,False,15,983
mockito,mockito,/home/camila/repos/mockito/mockito,MULTIPROJETOS,True,False,False,0,0
mongodb,mongo-java-driver,/home/camila/repos/mongodb/mongo-java-driver,MULTIPROJETOS,True,False,False,0,0
moquette-io,moquette,/home/camila/repos/moquette-io/moquette,MULTIPROJETOS,False,False,False,4,172
MorphiaOrg,morphia,/home/camila/repos/MorphiaOrg/morphia,MULTIPROJETOS,False,False,False,8,1577
MovingBlocks,Terasology,/home/camila/repos/MovingBlocks/Terasology,MULTIPROJETOS,True,False,False,0,0
mplushnikov,lombok-intellij-plugin,/home/camila/repos/mplushnikov/lombok-intellij-plugin,DESCONHECIDO,False,False,False,0,0
msgpack,msgpack-java,/home/camila/repos/msgpack/msgpack-java,DESCONHECIDO,False,False,False,0,0
NationalSecurityAgency,ghidra,/home/camila/repos/NationalSecurityAgency/ghidra,MULTIPROJETOS,False,False,False,0,0
naver,ngrinder,/home/camila/repos/naver/ngrinder,MULTIPROJETOS,False,False,False,0,0
Neamar,KISS,/home/camila/repos/Neamar/KISS,MULTIPROJETOS,True,False,False,0,0
neo4j-contrib,neo4j-apoc-procedures,/home/camila/repos/neo4j-contrib/neo4j-apoc-procedures,MULTIPROJETOS,True,False,False,1,11
Netflix,genie,/home/camila/repos/Netflix/genie,DESCONHECIDO,False,False,False,0,0
netty,netty,/home/camila/repos/netty/netty,MULTIPROJETOS,False,False,False,53,2592
networknt,light-4j,/home/camila/repos/networknt/light-4j,MULTIPROJETOS,False,False,False,86,1083
nextcloud,android,/home/camila/repos/nextcloud/android,MULTIPROJETOS,True,False,False,0,0
nutzam,nutz,/home/camila/repos/nutzam/nutz,MULTIPROJETOS,False,False,False,2,148
oblac,jodd,/home/camila/repos/oblac/jodd,MULTIPROJETOS,True,False,False,0,0
open-keychain,open-keychain,/home/camila/repos/open-keychain/open-keychain,MULTIPROJETOS,True,False,False,0,0
OpenAPITools,openapi-generator,/home/camila/repos/OpenAPITools/openapi-generator,MULTIPROJETOS,False,False,False,361,1627
OpenHFT,Chronicle-Map,/home/camila/repos/OpenHFT/Chronicle-Map,MULTIPROJETOS,False,False,False,2,1198
OpenHFT,Chronicle-Queue,/home/camila/repos/OpenHFT/Chronicle-Queue,SINGLE_REPO,False,False,False,1,2406
OpenRefine,OpenRefine,/home/camila/repos/OpenRefine/OpenRefine,MULTIPROJETOS,False,False,False,13,1091
opensourceBIM,BIMserver,/home/camila/repos/opensourceBIM/BIMserver,MULTIPROJETOS,False,False,False,9,760
opentripplanner,OpenTripPlanner,/home/camila/repos/opentripplanner/OpenTripPlanner,SINGLE_REPO,False,False,False,1,1069
OpenVidu,openvidu,/home/camila/repos/OpenVidu/openvidu,MULTIPROJETOS,False,False,False,3,179
openzipkin,brave,/home/camila/repos/openzipkin/brave,MULTIPROJETOS,False,False,False,55,829
openzipkin,zipkin,/home/camila/repos/openzipkin/zipkin,MULTIPROJETOS,False,False,False,18,1164
oracle,opengrok,/home/camila/repos/oracle/opengrok,DESCONHECIDO,False,False,False,0,0
oracle,graal,/home/camila/repos/oracle/graal,DESCONHECIDO,False,False,False,0,0
oracle,visualvm,/home/camila/repos/oracle/visualvm,MULTIPROJETOS,False,False,False,4,14
oshi,oshi,/home/camila/repos/oshi/oshi,DESCONHECIDO,False,False,False,0,0
osmandapp,OsmAnd,/home/camila/repos/osmandapp/OsmAnd,MULTIPROJETOS,True,False,False,0,0
osmdroid,osmdroid,/home/camila/repos/osmdroid/osmdroid,MULTIPROJETOS,True,False,False,1,3
pac4j,pac4j,/home/camila/repos/pac4j/pac4j,DESCONHECIDO,False,False,False,0,0
pentaho,pentaho-kettle,/home/camila/repos/pentaho/pentaho-kettle,MULTIPROJETOS,False,False,False,330,1457
PhilippC,keepass2android,/home/camila/repos/PhilippC/keepass2android,MULTIPROJETOS,False,False,False,0,0
PhilJay,MPAndroidChart,/home/camila/repos/PhilJay/MPAndroidChart,MULTIPROJETOS,True,False,False,1,1
pinterest,secor,/home/camila/repos/pinterest/secor,SINGLE_REPO,False,False,False,1,1524
plutext,docx4j,/home/camila/repos/plutext/docx4j,MULTIPROJETOS,False,False,False,29,541
pmd,pmd,/home/camila/repos/pmd/pmd,MULTIPROJETOS,False,False,False,42,1156
pravega,pravega,/home/camila/repos/pravega/pravega,SINGLE_REPO,True,False,False,0,0
prestodb,presto,/home/camila/repos/prestodb/presto,MULTIPROJETOS,False,False,False,103,2946
primefaces,primefaces,/home/camila/repos/primefaces/primefaces,MULTIPROJETOS,False,False,False,10,1546
processing,processing,/home/camila/repos/processing/processing,DESCONHECIDO,False,False,False,0,0
psi-probe,psi-probe,/home/camila/repos/psi-probe/psi-probe,MULTIPROJETOS,False,False,False,7,2975
pytorch,serve,/home/camila/repos/pytorch/serve,MULTIPROJETOS,False,False,False,1,17
qos-ch,slf4j,/home/camila/repos/qos-ch/slf4j,MULTIPROJETOS,False,False,False,16,519
qos-ch,logback,/home/camila/repos/qos-ch/logback,MULTIPROJETOS,False,False,False,7,808
QuantumBadger,RedReader,/home/camila/repos/QuantumBadger/RedReader,MULTIPROJETOS,True,False,False,0,0
